invading,COUNT(invading)
"United Kingdom",40
"United States",35
France,34
Japan,27
Germany,23
Russia,19
"Soviet Union",18
Italy,15
Israel,12
China,12
Vietnam,11
Siam,8
Canada,7
India,7
Australia,6
Greece,6
Romania,6
Austria-Hungary,6
Poland,5
"North Vietnam",5
Bulgaria,5
Brazil,5
Spain,5
Sweden,5
Egypt,4
Serbia,4
"Ottoman Empire",4
Chile,4
Austria,4
Pakistan,3
Syria,3
Iraq,3
Hungary,3
"South Korea",3
Montenegro,3
Prussia,3
"Great Britain",3
Nigeria,2
Turkey,2
Uganda,2
Argentina,2
Indonesia,2
Morocco,2
"South Vietnam",2
Netherlands,2
Belgium,2
"Russian SFSR",2
"Ukrainian SSR",2
Uruguay,2
"Confederate States of America",2
Burma,2
Al-Shabaab,1
"United Arab Emirates",1
Senegal,1
Ghana,1
Kenya,1
Comoros,1
Ethiopia,1
"Northern Alliance",1
Rwanda,1
Burundi,1
Eritrea,1
"Saudi Arabia",1
"Rwandan Patriotic Front",1
Iran,1
Tanzania,1
Somalia,1
Cambodia,1
"National Liberation Front",1
Biafra,1
"North Korea",1
Mongolia,1
"Soviet Union
",1
Thailand,1
Albania,1
"Slovak Republic",1
Manchukuo,1
Paraguay,1
Czechoslovakia,1
"South Africa",1
"New Zealand",1
"South African Republic",1
"Orange Free State",1
"Cape Colony",1
"Bulgarian Legion",1
"North German Confederation",1
"British India",1
"Black Flag Army",1
Sardinia-Piedmont,1
"Entre Rios",1
Corrientes,1
Peru,1
Jammu,1
"United Kingdom of Portugal",1
"the Algarves",1
"Native Americans",1
Portugal,1
"Manchu army",1
"Gorkha Kingdom",1
"Al Khalifa",1
"Thirteen Colonies (United States)",1
England,1
Britain,1
Tatar,1
Omani,1
"Ottoman Turks",1
Mongols,1
Denmark-Norway,1
"Polish-Lithuanian Commonwealth",1
